user_sn,Group,total_actions,unique_videos,actions_per_video,Cluster,Cluster_Label,PC1,PC2
238943,Group 1 (Initial),845.0,36.0,23.47222222222222,0,Medium (中活躍),1.8340005829076595,1.295233911157931
166039,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
238999,Group 1 (Initial),803.0,43.0,18.67441860465116,0,Medium (中活躍),1.8000973002502507,1.7515544540697348
129597,Group 1 (Initial),475.0,21.0,22.61904761904762,0,Medium (中活躍),1.004431215056235,0.4505074583900903
61047,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
239765,Group 1 (Initial),1130.0,44.0,25.681818181818183,0,Medium (中活躍),2.4424385289452823,1.723094332101182
170169,Group 1 (Initial),787.0,34.0,23.147058823529413,0,Medium (中活躍),1.7063665908986594,1.1851234856141597
75595,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
73206,Group 1 (Initial),3219.0,14.0,229.92857142857144,0,Medium (中活躍),8.556164790783592,-1.7977225346701449
178282,Group 1 (Initial),88.0,7.0,12.571428571428571,1,Low (低活躍),0.0150858685187149,-0.2651240395217339
179767,Group 1 (Initial),878.0,86.0,10.209302325581396,0,Medium (中活躍),2.454427299104037,4.3629331101263285
2475,Group 1 (Initial),182.0,4.0,45.5,1,Low (低活躍),0.64839193865527,-0.6965612829854717
158918,Group 1 (Initial),96.0,6.0,16.0,1,Low (低活躍),0.067449685628425,-0.3507432986672506
238446,Group 1 (Initial),456.0,92.0,4.956521739130435,0,Medium (中活躍),1.800996166757645,4.8053283078678986
3276,Group 1 (Initial),140.0,8.0,17.5,1,Low (低活躍),0.1921146124753096,-0.2477331251090421
244127,Group 1 (Initial),450.0,15.0,30.0,1,Low (低活躍),0.9906177188160362,0.0420702340918451
77526,Group 1 (Initial),142.0,13.0,10.923076923076923,1,Low (低活躍),0.1671681105526394,0.097861755603062
51970,Group 1 (Initial),1413.0,41.0,34.46341463414634,0,Medium (中活躍),2.981759064674395,1.4485572162391631
80433,Group 1 (Initial),16.0,1.0,16.0,1,Low (低活躍),-0.1364500893787944,-0.6392256839705509
141346,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
125252,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
94080,Group 1 (Initial),226.0,17.0,13.294117647058824,1,Low (低活躍),0.4000432288950607,0.3089597197416435
251097,Group 1 (Initial),26.0,2.0,13.0,1,Low (低活躍),-0.1536247695209401,-0.558762406595509
76158,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
147236,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
6622,Group 1 (Initial),116.0,14.0,8.285714285714286,1,Low (低活躍),0.0993496427566671,0.1796510599444813
